"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.665484810E-1,1.431938648E0,-6.700683236E-1,7.514991760E-1
7.765549140E-1,1.452532887E0,-4.154597521E-1,6.430568695E-1
7.865615470E-1,1.529166341E0,-3.494620323E-1,6.595363617E-1
7.965680800E-1,2.167702675E0,2.913898230E-1,2.325630188E-2
8.065747460E-1,2.188704967E0,1.376794577E-1,4.666738510E-1
8.165817460E-1,1.823704004E0,-2.774031758E-1,9.509582520E-1
8.265887790E-1,1.064692736E0,-4.588834345E-1,1.683170319E0
8.365949450E-1,1.614007950E-1,-7.666251659E-1,2.588562965E0
8.466012450E-1,-7.082247734E-2,-1.238866568E0,2.886060715E0
8.566086780E-1,3.602015972E-1,-1.372472286E0,2.132355690E0
8.666161440E-1,6.412997246E-1,-1.389245272E0,1.423099518E0
8.766231100E-1,9.222016335E-1,-1.289528251E0,5.733318329E-1
8.866300430E-1,1.086604834E0,-1.107045650E0,-1.902389526E-2
8.966373760E-1,1.242547274E0,-9.775649309E-1,-1.845655441E-1
9.066446760E-1,5.518705845E-1,-1.443962932E0,4.616853714E0
9.166509420E-1,2.175308228E0,-9.635967612E-1,-9.403753281E-1
9.266580080E-1,1.959648252E0,-8.400361538E-1,1.696707726E0
9.366663410E-1,2.294676542E0,-5.572618246E-1,2.548588753E0
9.466747740E-1,2.211029530E0,-4.891320467E-1,2.516515732E0
9.566830070E-1,1.350453377E0,-1.784361839E0,6.070619583E0
9.666914070E-1,1.495940685E0,-2.570970774E0,6.142978668E0
9.767002070E-1,2.497361660E0,-3.274327040E0,4.657435417E0
9.867090070E-1,2.976957798E0,-3.683496952E0,3.538666725E0
9.967167730E-1,2.821216583E0,-3.630045414E0,2.481734276E0
1.006724506E0,2.222574949E0,-2.971031904E0,1.932769775E0
1.016733272E0,2.108621120E0,-2.227526188E0,1.338674545E0
1.026742072E0,2.830088615E0,-1.683733940E0,6.682033539E-1
1.036750272E0,3.274318218E0,-1.278424144E0,3.150482178E-1
1.046758405E0,3.075353384E0,-9.150934815E-1,-4.423046112E-2
1.056766838E0,3.353638887E0,-2.489113510E-1,1.917362213E-2
1.066775038E0,4.647115231E0,5.600154400E-3,-4.242734909E-1
1.076782238E0,4.666544914E0,-3.017763793E-1,-1.073365211E0
1.086789338E0,8.701150417E-1,-9.151101112E-1,-1.608994007E0
1.096797338E0,-1.871491671E0,-1.566426754E0,-2.051709652E0
1.106805071E0,-1.942153692E0,-1.650407672E0,-2.072861195E0
1.116812237E0,2.416067600E0,-2.240335464E0,-8.913650513E-1
1.126819503E0,2.493328571E0,-1.512695074E0,-3.483715057E-1
1.136827136E0,2.453011751E0,-5.770491362E-1,-3.361787796E-1
1.146836569E0,3.067534447E0,1.231015563E0,-1.833382607E0
1.156844702E0,2.896630287E0,1.081247807E0,-1.864624977E0
1.166852735E0,2.728043079E0,9.340065718E-1,-1.890031815E0
