"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.394555312E1,6.498427075E1,2.552082198E1,1.952283087E1,9.699999690E-1,1.240999985E2,3.500000000E0,4.000000000E0
4.494885750E1,6.498426220E1,2.552084595E1,1.952281982E1,1.110000014E0,1.311000061E2,3.500000000E0,4.000000000E0
4.595315188E1,6.498425755E1,2.552086992E1,2.052281237E1,8.599999547E-1,1.270000000E2,3.500000000E0,4.000000000E0
4.693681961E1,6.498425344E1,2.552089222E1,2.052280565E1,7.899999619E-1,1.195999985E2,3.500000000E0,4.000000000E0
4.794478574E1,6.498425043E1,2.552091032E1,2.052280049E1,8.399999738E-1,1.166999969E2,3.500000000E0,4.000000000E0
4.893287648E1,6.498424347E1,2.552093471E1,2.052279086E1,1.220000029E0,1.368999939E2,3.500000000E0,4.000000000E0
4.992782094E1,6.498423182E1,2.552096187E1,1.952277652E1,1.059999943E0,1.441000061E2,3.500000000E0,4.000000000E0
5.096209934E1,6.498422289E1,2.552098316E1,1.852276548E1,1.059999943E0,1.408999939E2,3.500000000E0,4.000000000E0
5.194320098E1,6.498421589E1,2.552100143E1,1.852275661E1,9.799999595E-1,1.408999939E2,3.500000000E0,4.000000000E0
5.293510156E1,6.498420672E1,2.552101535E1,1.852274630E1,1.029999971E0,1.430000000E2,3.500000000E0,4.000000000E0
5.393498562E1,6.498419565E1,2.552103211E1,1.852273386E1,1.110000014E0,1.506999969E2,3.500000000E0,4.000000000E0
5.493740840E1,6.498418706E1,2.552104033E1,1.852272484E1,1.240000010E0,1.503999939E2,3.500000000E0,4.000000000E0
5.594541262E1,6.498417545E1,2.552104854E1,1.752271303E1,1.100000024E0,1.506999969E2,3.500000000E0,4.000000000E0
5.693546422E1,6.498416355E1,2.552106271E1,1.752270016E1,1.370000005E0,1.461999969E2,3.500000000E0,4.000000000E0
5.791285223E1,6.498414410E1,2.552107167E1,1.752268100E1,1.079999924E0,1.518000031E2,3.500000000E0,4.000000000E0
5.892815434E1,6.498413140E1,2.552108056E1,1.652266809E1,9.599999785E-1,1.553999939E2,3.500000000E0,4.000000000E0
5.992382059E1,6.498411678E1,2.552108433E1,1.752265407E1,1.220000029E0,1.548000031E2,3.500000000E0,4.000000000E0
6.093629266E1,6.498410358E1,2.552109447E1,1.652264053E1,1.090000033E0,1.541999969E2,3.500000000E0,4.000000000E0
6.193743480E1,6.498409503E1,2.552110537E1,1.652263120E1,1.009999990E0,1.491999969E2,3.500000000E0,4.000000000E0
6.293798715E1,6.498408748E1,2.552111643E1,1.652262277E1,1.019999981E0,1.460000000E2,3.500000000E0,4.000000000E0
6.394200613E1,6.498407369E1,2.552113119E1,1.652260808E1,1.029999971E0,1.506999969E2,3.500000000E0,4.000000000E0
6.494934316E1,6.498406142E1,2.552115046E1,1.652259420E1,8.499999642E-1,1.536999969E2,3.500000000E0,4.000000000E0
6.594809644E1,6.498404972E1,2.552115189E1,1.652258320E1,8.599999547E-1,1.531999969E2,3.500000000E0,4.000000000E0
6.693969086E1,6.498403895E1,2.552115482E1,1.552257285E1,8.299999833E-1,1.560000000E2,3.500000000E0,4.000000000E0
6.794245242E1,6.498402768E1,2.552116396E1,1.652256123E1,1.000000000E0,1.586000061E2,3.500000000E0,4.000000000E0
6.894308422E1,6.498401485E1,2.552117410E1,1.552254803E1,1.069999933E0,1.630000000E2,3.500000000E0,4.000000000E0
6.994901394E1,6.498399855E1,2.552118802E1,1.552253113E1,1.039999962E0,1.615000000E2,3.500000000E0,4.000000000E0
7.094335098E1,6.498398983E1,2.552119631E1,1.552252198E1,8.499999642E-1,1.561999969E2,3.500000000E0,4.000000000E0
7.194232887E1,6.498398040E1,2.552120998E1,1.552251147E1,8.100000024E-1,1.553000031E2,3.500000000E0,4.000000000E0
7.294936727E1,6.498397236E1,2.552122129E1,1.552250254E1,7.899999619E-1,1.508999939E2,3.500000000E0,4.000000000E0
7.395025246E1,6.498396305E1,2.552123361E1,1.552249232E1,7.699999809E-1,1.485000000E2,3.500000000E0,4.000000000E0
7.494304375E1,6.498395601E1,2.552124811E1,1.452248390E1,8.199999928E-1,1.481999969E2,3.500000000E0,4.000000000E0
7.591315309E1,6.498394889E1,2.552126228E1,1.452247546E1,8.199999928E-1,1.466999969E2,3.500000000E0,4.000000000E0
7.691047129E1,6.498394021E1,2.552128005E1,1.452246510E1,8.100000024E-1,1.461000061E2,3.500000000E0,4.000000000E0
7.794775453E1,6.498393288E1,2.552129555E1,1.552245628E1,7.799999714E-1,1.486999969E2,3.500000000E0,4.000000000E0
